id,name,city,pan,aadhar,dl_number,dl_for_vehicle_types,Available,rating
1,Driver_1,1,ABCDE2273F,9540 7415 8672,DL-8863-691767,[1],True,
2,Driver_2,1,ABCDE9424F,1476 7245 9690,DL-5571-326751,"[2, 1]",False,
3,Driver_3,1,ABCDE8295F,7105 3278 1337,DL-6911-515356,"[5, 3, 4]",False,
4,Driver_4,1,ABCDE8519F,3901 6339 8015,DL-5523-237881,"[5, 1, 3, 2]",True,
5,Driver_5,1,ABCDE6680F,8013 5514 2784,DL-1155-675002,"[1, 4, 5, 3, 2]",False,
6,Driver_6,1,ABCDE6063F,5333 4101 8583,DL-6272-140906,[1],True,
7,Driver_7,1,ABCDE4830F,7017 2295 9076,DL-1015-111099,"[3, 4]",False,
8,Driver_8,1,ABCDE9371F,4236 8527 6295,DL-2723-294660,"[1, 2, 4]",True,
9,Driver_9,1,ABCDE5159F,2189 5232 1277,DL-6058-542050,"[3, 2, 4, 1]",True,
10,Driver_10,1,ABCDE4562F,4417 7140 2802,DL-5770-789246,"[4, 1, 3, 2, 5]",True,
11,Driver_11,1,ABCDE1233F,5510 6073 1542,DL-9648-290991,[2],True,
12,Driver_12,1,ABCDE2474F,5740 8070 5791,DL-3651-773009,"[5, 2]",False,
13,Driver_13,1,ABCDE6404F,9909 3142 5920,DL-7472-699590,"[2, 1, 5]",True,
14,Driver_14,1,ABCDE2253F,5790 9160 3598,DL-8877-230283,"[3, 1, 4, 2]",False,
15,Driver_15,1,ABCDE3757F,2343 1284 6599,DL-7265-284542,"[3, 5, 2, 1, 4]",True,
16,Driver_16,1,ABCDE3886F,1214 7546 1958,DL-4981-301681,[2],True,
17,Driver_17,1,ABCDE8113F,9793 5649 3613,DL-5046-581307,"[5, 3]",True,
18,Driver_18,1,ABCDE8976F,8885 7514 3855,DL-1724-392400,"[2, 1, 3]",True,
19,Driver_19,1,ABCDE2153F,8462 2311 7367,DL-9282-467472,"[1, 3, 5, 2]",False,
20,Driver_20,1,ABCDE4316F,3267 8129 5037,DL-8371-969383,"[2, 5, 4, 1, 3]",True,
21,Driver_21,1,ABCDE2805F,9984 1735 5472,DL-2138-522156,[4],True,
22,Driver_22,1,ABCDE7604F,4917 3609 1923,DL-5391-237024,"[2, 5]",True,
