vehicle_owner_Id,Name,PAN,Aadhar,City,Address,Rating
1,vehicle_owner_1,ABCDE4326F,4134 1963 4685,Akola,Address_1,3.36
2,vehicle_owner_2,ABCDE8152F,6481 9403 5727,Ahmadnagar,Address_2,4.01
3,vehicle_owner_3,ABCDE1031F,5230 9115 8542,Ambala,Address_3,4.67
4,vehicle_owner_4,ABCDE2722F,6817 7449 4722,Amaravati,Address_4,1.67
5,vehicle_owner_5,ABCDE2740F,8780 4313 9832,Amritsar,Address_5,3.17
6,vehicle_owner_6,ABCDE1784F,2904 5949 6224,Bakshpur,Address_6,2.91
7,vehicle_owner_7,ABCDE9786F,7716 8472 6613,Amritsar,Address_7,3.45
8,vehicle_owner_8,ABCDE9892F,9387 8556 9443,Alipurduar,Address_8,4.64
9,vehicle_owner_9,ABCDE5778F,1922 7129 5232,Adilabad,Address_9,4.91
10,vehicle_owner_10,ABCDE7596F,6275 9067 7442,Adilabad,Address_10,3.37
