vehicle_operator_id,Name,PAN,Aadhar,City,Address,Rating
1,vehicle_operator_1,ABCDE5756F,3513 2875 9329,Aizawl  ,Address_1,1.14
2,vehicle_operator_2,ABCDE9294F,6476 6222 7911,Amritsar,Address_2,4.2
3,vehicle_operator_3,ABCDE3295F,6323 5514 9065,Barddhaman,Address_3,2.93
4,vehicle_operator_4,ABCDE7228F,8268 9109 6302,Aurangabad,Address_4,3.91
5,vehicle_operator_5,ABCDE2734F,2009 5156 7227,Agra,Address_5,4.5
6,vehicle_operator_6,ABCDE6703F,4945 4060 8933,Alwar,Address_6,4.13
7,vehicle_operator_7,ABCDE4161F,3106 5197 6954,Bamanpuri,Address_7,3.07
8,vehicle_operator_8,ABCDE5840F,2489 7866 6197,Baramula,Address_8,2.99
9,vehicle_operator_9,ABCDE1321F,5418 7646 1554,Amaravati,Address_9,1.71
10,vehicle_operator_10,ABCDE4197F,9220 8085 2725,Bamanpuri,Address_10,1.08
