id,name,city,pan,aadhar,dl_number,dl_for_vehicle_types,Available,rating
1,Driver_1,1,ABCDE1613F,4497 9247 9456,DL-3528-327794,[1],True,
2,Driver_2,1,ABCDE9927F,4491 2636 3176,DL-9872-874865,"[3, 1]",True,
3,Driver_3,1,ABCDE2693F,5863 1358 3926,DL-9392-236115,"[1, 5, 3]",False,
4,Driver_4,1,ABCDE8018F,5693 6485 2255,DL-3157-761521,"[1, 3, 4, 5]",True,
5,Driver_5,1,ABCDE1586F,1536 3121 6301,DL-6348-654711,"[2, 4, 3, 1, 5]",True,
6,Driver_6,1,ABCDE2504F,8384 4625 1083,DL-9076-640004,[3],False,
7,Driver_7,1,ABCDE1851F,3904 8179 2359,DL-3940-711756,"[3, 2]",True,
8,Driver_8,1,ABCDE9018F,6457 7198 2229,DL-6283-363767,"[3, 2, 1]",True,
9,Driver_9,1,ABCDE8473F,5984 1927 7612,DL-3967-499571,"[1, 5, 4, 2]",False,
10,Driver_10,1,ABCDE6956F,5025 2602 5714,DL-3025-154681,"[3, 4, 5, 1, 2]",False,
11,Driver_11,1,ABCDE4493F,7322 8280 9361,DL-8162-814543,[3],False,
12,Driver_12,1,ABCDE6621F,3330 6812 6531,DL-4570-980529,"[2, 5]",True,
13,Driver_13,1,ABCDE5532F,9868 1110 2997,DL-8517-489862,"[4, 2, 5]",True,
14,Driver_14,1,ABCDE7132F,7053 5084 7317,DL-2663-549212,"[4, 3, 2, 5]",True,
15,Driver_15,1,ABCDE9539F,3301 1976 4872,DL-9119-915138,"[1, 3, 5, 4, 2]",False,
16,Driver_16,1,ABCDE8102F,9118 3246 9018,DL-4579-633330,[3],False,
17,Driver_17,1,ABCDE6413F,3982 5860 5803,DL-2779-655549,"[4, 1]",True,
18,Driver_18,1,ABCDE1816F,1288 1023 7414,DL-3184-540672,"[2, 3, 5]",False,
19,Driver_19,1,ABCDE1141F,2469 6500 3648,DL-5913-892106,"[4, 3, 5, 2]",False,
20,Driver_20,1,ABCDE6952F,6935 5313 5186,DL-8453-124813,"[1, 3, 5, 4, 2]",True,
21,Driver_21,1,ABCDE3426F,2168 4097 1484,DL-4985-928091,[2],False,
22,Driver_22,1,ABCDE2295F,9457 7220 4735,DL-8251-166569,"[5, 3]",False,
23,Driver_23,1,ABCDE3731F,8517 1503 3536,DL-5863-161346,"[5, 3, 4]",False,
24,Driver_24,1,ABCDE6498F,1901 2436 2696,DL-4893-730111,"[3, 5, 4, 2]",True,
25,Driver_25,1,ABCDE8401F,1453 7860 9916,DL-2928-473618,"[3, 4, 2, 1, 5]",False,
26,Driver_26,2,ABCDE8986F,2466 9972 5953,DL-4987-943136,[4],False,
27,Driver_27,2,ABCDE3897F,3241 8096 3237,DL-8574-701021,"[2, 4]",True,
28,Driver_28,2,ABCDE5331F,3494 1440 9351,DL-7081-210320,"[4, 2, 3]",False,
29,Driver_29,2,ABCDE6935F,8503 8675 6370,DL-4769-774843,"[4, 3, 2, 5]",False,
30,Driver_30,2,ABCDE9585F,8903 1361 3775,DL-4280-105735,"[5, 2, 1, 3, 4]",True,
31,Driver_31,2,ABCDE4795F,2931 8747 9656,DL-9882-632553,[4],False,
32,Driver_32,2,ABCDE2945F,7347 9746 7772,DL-1640-320887,"[4, 3]",False,
33,Driver_33,2,ABCDE1149F,6412 4688 3941,DL-7399-715115,"[5, 4, 2]",False,
34,Driver_34,2,ABCDE1384F,9095 5123 1749,DL-9565-955610,"[3, 5, 4, 1]",True,
35,Driver_35,2,ABCDE5569F,8428 2719 1364,DL-5617-680103,"[3, 4, 2, 5, 1]",True,
36,Driver_36,2,ABCDE7132F,3727 4689 4114,DL-8707-611292,[1],True,
37,Driver_37,2,ABCDE4433F,8502 3449 7486,DL-6490-114572,"[1, 5]",True,
38,Driver_38,2,ABCDE5981F,6881 4965 5415,DL-1651-247044,"[3, 4, 5]",False,
39,Driver_39,2,ABCDE7379F,9606 9190 6342,DL-8733-694749,"[5, 1, 3, 2]",False,
40,Driver_40,2,ABCDE1271F,9163 4823 5327,DL-7857-391796,"[2, 1, 4, 3, 5]",True,
41,Driver_41,2,ABCDE4837F,3830 9855 6880,DL-1899-558332,[3],False,
42,Driver_42,2,ABCDE8610F,5006 7162 6214,DL-3465-859456,"[3, 5]",True,
43,Driver_43,2,ABCDE4679F,7544 8245 2831,DL-1290-195324,"[1, 4, 2]",False,
44,Driver_44,2,ABCDE3987F,2433 7293 8251,DL-9024-653402,"[1, 2, 3, 5]",False,
