id,name,city,pan,aadhar,dl_number,dl_for_vehicle_types,Available,rating
1,Driver_1,1,ABCDE5847F,2495 4651 8039,DL-8183-924197,"[448, 182, 223]",False,
2,Driver_2,1,ABCDE6050F,4572 7218 9796,DL-8076-534591,"[376, 775, 507]",False,
3,Driver_3,1,ABCDE1766F,4412 4839 6479,DL-3670-531205,"[47, 373, 641]",False,
4,Driver_4,1,ABCDE3869F,7013 7926 7637,DL-5434-404834,"[968, 170, 649]",True,
5,Driver_5,1,ABCDE9083F,7070 5996 9966,DL-7520-407646,"[354, 113, 649]",False,
6,Driver_6,1,ABCDE8958F,8948 4197 8232,DL-7094-491313,"[68, 463]",True,
7,Driver_7,1,ABCDE3601F,4689 1111 6814,DL-2983-944085,[660],False,
8,Driver_8,1,ABCDE8777F,1530 7967 3872,DL-4356-118810,"[374, 630, 379]",False,
9,Driver_9,1,ABCDE1595F,1045 8921 4066,DL-2075-908928,"[663, 524, 186]",True,
10,Driver_10,1,ABCDE7545F,5990 3172 8347,DL-7189-914867,"[985, 728]",True,
11,Driver_11,1,ABCDE8481F,2833 3103 8791,DL-6447-373190,"[521, 470]",False,
12,Driver_12,1,ABCDE6523F,9399 7485 1074,DL-3705-245289,"[912, 222, 351]",True,
13,Driver_13,1,ABCDE2707F,2106 3854 9774,DL-4924-932145,"[938, 806]",False,
14,Driver_14,1,ABCDE7647F,4005 6338 4574,DL-3662-915589,"[223, 58, 981]",True,
15,Driver_15,1,ABCDE1003F,1440 1748 7333,DL-3834-750227,"[739, 46]",True,
16,Driver_16,1,ABCDE8048F,4876 8663 9300,DL-9732-186702,"[294, 775, 886]",True,
17,Driver_17,1,ABCDE3922F,4232 2052 1621,DL-4911-443915,"[69, 681, 906]",True,
18,Driver_18,1,ABCDE5515F,9302 8339 4850,DL-4812-941345,[115],True,
19,Driver_19,1,ABCDE2864F,8942 3185 3224,DL-1195-962134,[786],True,
20,Driver_20,1,ABCDE2350F,2407 2592 2725,DL-6432-475069,"[278, 824, 744]",True,
21,Driver_21,1,ABCDE8290F,7042 1252 9235,DL-7180-794029,"[238, 273]",True,
22,Driver_22,1,ABCDE8970F,8578 9566 5360,DL-7740-333114,"[338, 374]",True,
23,Driver_23,1,ABCDE8699F,4537 8057 4109,DL-3813-379488,"[759, 889]",True,
24,Driver_24,1,ABCDE2386F,2771 3440 1527,DL-9574-282229,"[251, 477]",True,
25,Driver_25,1,ABCDE3466F,1892 9855 2839,DL-8242-752234,"[143, 106, 656]",False,
26,Driver_26,1,ABCDE6690F,1861 5796 4070,DL-6041-689539,"[207, 282]",False,
27,Driver_27,1,ABCDE1137F,2924 1291 1297,DL-2833-120038,"[647, 479]",False,
28,Driver_28,1,ABCDE5141F,7510 8915 8509,DL-5659-580996,[665],True,
29,Driver_29,1,ABCDE9893F,3207 1017 7464,DL-9705-913625,[870],True,
30,Driver_30,1,ABCDE8010F,8625 3827 6493,DL-4670-361658,"[151, 438, 824]",False,
31,Driver_31,1,ABCDE6405F,7311 3306 6742,DL-7516-517722,"[159, 740, 62]",False,
32,Driver_32,1,ABCDE6841F,7662 7329 3794,DL-2098-445393,"[639, 726, 563]",True,
33,Driver_33,1,ABCDE4083F,7563 4468 2458,DL-7536-960968,"[556, 962, 977]",True,
34,Driver_34,1,ABCDE6094F,2544 2740 4904,DL-9924-464420,[482],False,
35,Driver_35,1,ABCDE5994F,6147 7082 4375,DL-3115-913313,"[587, 611]",False,
36,Driver_36,1,ABCDE5470F,9690 1356 7928,DL-9837-705321,[830],False,
37,Driver_37,1,ABCDE1732F,2050 6607 2517,DL-4771-206352,"[611, 168, 241]",False,
38,Driver_38,1,ABCDE2673F,9128 1063 9203,DL-7434-270577,[121],False,
39,Driver_39,1,ABCDE4124F,4015 7531 2088,DL-7609-259081,"[549, 538]",False,
40,Driver_40,1,ABCDE9795F,4846 4991 8342,DL-2360-656547,"[203, 126]",True,
41,Driver_41,1,ABCDE3979F,8679 8632 2397,DL-3790-243168,[707],True,
42,Driver_42,1,ABCDE5326F,8881 4840 5695,DL-2686-924010,"[407, 929]",True,
43,Driver_43,1,ABCDE4446F,4773 4572 8178,DL-6415-738418,"[961, 345]",False,
44,Driver_44,1,ABCDE4558F,5981 9283 5856,DL-4639-567059,"[811, 579, 423]",True,
