id,name,city,pan,aadhar,dl_number,dl_for_vehicle_types,Available,rating
1,Driver_1,1,ABCDE1665F,4629 7816 5355,DL-2909-320386,[289],True,
2,Driver_2,1,ABCDE1405F,4347 6554 8877,DL-5807-257608,"[478, 55, 620]",False,
3,Driver_3,1,ABCDE1094F,5594 6435 5238,DL-3024-259799,"[925, 170, 482]",False,
4,Driver_4,1,ABCDE6080F,8209 7277 4429,DL-3995-906760,"[695, 15]",True,
5,Driver_5,1,ABCDE7050F,3756 5576 3080,DL-1187-114655,[728],False,
6,Driver_6,1,ABCDE8321F,5473 7457 6722,DL-4610-961274,"[89, 771, 820]",True,
7,Driver_7,1,ABCDE1784F,3452 3805 8972,DL-5584-852919,"[923, 876]",True,
8,Driver_8,1,ABCDE3988F,9705 6287 9956,DL-4902-493834,"[823, 742]",False,
9,Driver_9,1,ABCDE3973F,3218 2987 2484,DL-5136-683579,"[460, 382]",True,
10,Driver_10,1,ABCDE8893F,1544 9007 7037,DL-4703-322352,"[710, 809]",False,
11,Driver_11,1,ABCDE5096F,5909 3478 3390,DL-4690-959154,"[127, 308, 74]",False,
12,Driver_12,1,ABCDE2273F,4786 5440 6066,DL-4383-481104,"[843, 441]",False,
13,Driver_13,1,ABCDE7849F,1824 7145 9405,DL-3782-632766,[136],False,
14,Driver_14,1,ABCDE2481F,1479 3726 3431,DL-1318-889196,"[794, 679, 811]",False,
15,Driver_15,1,ABCDE4089F,6219 5243 1011,DL-5729-313063,"[507, 959, 65]",False,
16,Driver_16,1,ABCDE9103F,1527 5906 8429,DL-5889-355974,"[978, 241, 931]",False,
17,Driver_17,1,ABCDE1235F,3520 9690 6217,DL-2776-943793,"[175, 405]",False,
18,Driver_18,1,ABCDE8213F,9923 9287 3318,DL-8796-699927,"[603, 889]",False,
19,Driver_19,1,ABCDE8002F,1937 6420 3341,DL-9243-511775,"[342, 639, 514]",True,
20,Driver_20,1,ABCDE6684F,5457 7854 4306,DL-8159-210349,"[2, 964]",False,
